identifiant;fournisseur;zone_disponibilite;nom;code_region;ville;zone_disponibilite_em
us-west4-a;GCP;Amérique du Nord;Las Vegas, Nevada, Amérique du Nord;US-NV;Las Vegas;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west4-b;GCP;Amérique du Nord;Las Vegas, Nevada, Amérique du Nord;US-NV;Las Vegas;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west4-c;GCP;Amérique du Nord;Las Vegas, Nevada, Amérique du Nord;US-NV;Las Vegas;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
eastus;Azure;Amérique;(US) East US;US-VA;Richmond;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
eastus2;Azure;Amérique;(US) East US 2;US-VA;Richmond;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
southcentralus;Azure;Amérique;(US) South Central US;US-TX;Dallas;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
westus;Azure;Amérique;(US) West US;US-CA;Sacramento;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
westus2;Azure;Amérique;(US) West US 2;US-WA;Olympia;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
westus3;Azure;Amérique;(US) West US 3;US-AZ;Phoenix;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
centralus;Azure;Amérique;(US) Central US;US-IA;Des Moines;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
westcentralus;Azure;Amérique;(US) West Central US;US-WY;Cheyenne;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
northcentralus;Azure;Amérique;(US) North Central US;US-IL;Springfield;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
canadacentral;Azure;Amérique;(Canada) Canada Central;CA-ON;Toronto;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
canadaeast;Azure;Amérique;(Canada) Canada East;CA-QC;Montréal;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
brazilsouth;Azure;Amérique;(South America) Brazil South;BR-SP;São Paulo;('BR-CS','BR-N','BR-NE','BR-S','CL-SEN','PE','UY','CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
germanywestcentral;Azure;Europe;(Europe) Germany West Central;DE-HE;Francfort;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
northeurope;Azure;Europe;(Europe) North Europe;IE-D;Dublin;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
westeurope;Azure;Europe;(Europe) West Europe;NL-NH;Amsterdam;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
francecentral;Azure;Europe;(Europe) France Central;FR-IDF;Paris;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
italynorth;Azure;Europe;(Europe) Italy North;IT-25;Milan;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
norwayeast;Azure;Europe;(Europe) Norway East;NO-03;Oslo;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
polandcentral;Azure;Europe;(Europe) Poland Central;PL-14;Varsovie;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
ukwest;Azure;Europe;(Europe) UK West;GB-WLS;Cardiff;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
uksouth;Azure;Europe;(Europe) UK South;GB-ENG;Londres;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
swedencentral;Azure;Europe;(Europe) Sweden Central;SE-X;Gävle;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
switzerlandnorth;Azure;Europe;(Europe) Switzerland North;CH-ZH;Zurich;('AT','BA','BE','BG','CH','CY','CZ','DE','DK-BHM','DK-DK1','DK-DK2','EE','ES','FI','FR','GB','GB-NIR','GR','HR','HU','IE','IS','IT-CNO','IT-CSO','IT-NO','IT-SAR','IT-SIC','IT-SO','LT','LU','LV','NL','NO-NO1','NO-NO2','NO-NO3','NO-NO4','NO-NO5','PL','PT','RO','RS','SE-SE1','SE-SE2','SE-SE3','SE-SE4','SI','SK','TR')
southafricanorth;Azure;Afrique – Moyen-Orient;(Africa) South Africa North;ZA-GT;Johannesbourg;('IL','ZA')
uaenorth;Azure;Afrique – Moyen-Orient;(Middle East) UAE North;AE-DU;Dubaï;('IL','ZA')
qatarcentral;Azure;Afrique – Moyen-Orient;(Middle East) Qatar Central;QA-DA;Doha;('IL','ZA')
eastasia;Azure;Asie – Pacifique;(Asia Pacific) East Asia;CN-HK;Hong Kong;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
southeastasia;Azure;Asie – Pacifique;(Asia Pacific) Southeast Asia;SG-01;Singapour;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
australiacentral;Azure;Asie – Pacifique;(Asia Pacific) Australia Central;AU-ACT;Canberra;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
australiaeast;Azure;Asie – Pacifique;(Asia Pacific) Australia East;AU-NSW;Sydney;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
australiasoutheast;Azure;Asie – Pacifique;(Asia Pacific) Australia Southeast;AU-VIC;Melbourne;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
koreacentral;Azure;Asie – Pacifique;(Asia Pacific) Korea Central;KR-11;Séoul;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
centralindia;Azure;Asie – Pacifique;(Asia Pacific) Central India;IN-MH;Pune;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
southindia;Azure;Asie – Pacifique;(Asia Pacific) South India;IN-TN;Madras;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
japaneast;Azure;Asie – Pacifique;(Asia Pacific) Japan East;JP-13;Tokyo;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
japanwest;Azure;Asie – Pacifique;(Asia Pacific) Japan West;JP-27;Osaka;('HK','ID','IN-NO','IN-WE','JP-KN','JP-TK','KR','SG','TR','TW')
